target_table,target_column,source_category,source_dataset,source_file_pattern,source_table_or_page,source_field_name,transformation_type,transformation_rule,notes
dim_source_document,source_id,Metadata,Primary Dataset (PDFs),*.pdf,Filename / Header,filename,Deterministic Hash,SHA-256 derived source identifier,Ensures idempotent ingestion across all 30 source reports
dim_source_document,reporting_month,Metadata,Primary Dataset (PDFs),FR*.pdf / Review*.pdf,Cover Page / Title,Report Month,Regex Extraction,Extracted from month-year strings to ISO YYYY-MM,Normalizes varied report titling into canonical month spine
dim_project,project_id,Project Monitoring,Primary Dataset (PDFs),FRApril2025.pdf ... FR_July_2026.pdf,Table 4 / Table 6,Project Code / Legacy Code / PMGID,Entity Resolution & Standardization,Prioritizes 6-digit PAIMANA code -> Legacy OCMS alphanumeric -> Synthetic ID,Forms canonical project identity across 16 months
dim_project,canonical_project_name,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Project Name Column,Project Name,String Normalization,"Strip trailing parenthetical agency/id annotations, uppercase normalization",Preserves clean human-readable project title
dim_project,sector_id,Project Monitoring,Primary Dataset (PDFs),Flash Reports,Sector / Header Line,Sector,Controlled Vocabulary Mapping,Normalized to 12 canonical infrastructure sectors via SECTOR_MAP,Standardizes varied abbreviations (e.g. RTH -> Roads & Highways)
dim_project,primary_state_id,Project Monitoring,Primary Dataset (PDFs),Flash Reports,Location / Project Description,State Name,Geographic Normalization,Mapped to ISO State/UT dimension with multi-state bridge creation,Prevents artificial state cost distortion on multi-state corridors
fact_project_month,original_cost_cr,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Original Cost Column,Cost (Original),Unit Normalization,Parsed to ₹ Crore numeric float,Certified original sanctioned project budget
fact_project_month,revised_cost_cr,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Revised Cost Column,Cost (Revised),Domain Default Handling,"Parsed float; if unrevised (NULL or 0.0), defaults to original_cost_cr",Represents currently sanctioned ceiling at reporting month
fact_project_month,cumulative_expenditure_cr,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Cumulative Expenditure Column,Cum. Exp.,Numeric Cleaning,Cleaned float; negative values clamped to 0.0 with audit log,Actual historical cash outflow reported by implementing agency
fact_project_month,physical_progress_pct,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Physical Progress Column,Physical Progress (%),Range Validation & Capping,"Parsed float; clamped to [0.0, 100.0] with audit log for values > 100",Site engineer certified completion percentage
fact_project_month,approval_date,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Date of Approval / Sanction,DOA / Approval Date,Date Normalization,"Parsed multi-format strings (DD/MM/YYYY, MM/YYYY) into ISO YYYY-MM-DD",Official CCEA / Ministry sanction date
fact_project_month,original_doc,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Date of Commissioning (Original),Original DOC,Date Normalization,Parsed into ISO YYYY-MM-DD,Original contractual/sanctioned commissioning target date
fact_project_month,anticipated_doc,Project Monitoring,Primary Dataset (PDFs),Flash Reports (Table 4/6),Date of Commissioning (Anticipated),Anticipated DOC,Date Normalization,Parsed into ISO YYYY-MM-DD,Latest monitored expected commissioning date at reporting period
fact_sector_review_benchmark,reported_value,Sector Infrastructure Reviews,Primary Dataset (PDFs),Review*.pdf,Sector Summary Tables,Target / Achievement,Numeric Extraction,"Extracted target and achievement metrics across power, coal, ports, etc.",Macro sector capacity addition benchmarks (Dec 2020 to Jan 2026)
fact_external_macro_index,wpi_index,Secondary External,Secondary dataset/WPI and PPIs,2024-25_0.xls,Monthly WPI Sheet,All Commodities WPI Index,Temporal Alignment,"Joined strictly on (year, month) with zero forward lookahead",Deflates nominal capital escalation against macroeconomic inflation
gold_project_monthly_metrics,cost_escalation_pct,Derived Analytical Metric,fact_project_month,N/A (Derived in pipeline),,"revised_cost_cr, original_cost_cr",Deterministic Algebraic,((revised_cost_cr - original_cost_cr) / original_cost_cr) * 100,Whole Computational Stack Part B
ml_dataset_master,target_cost_overrun_binary,Supervised ML Target,fact_project_month,N/A (Derived in pipeline),,"terminal_revised_cost, original_cost",Future Horizon Label Construction,1 if terminal_cost > original_cost else 0 (with right-censoring isolation),Target for CatBoost Cost Overrun Classifier
