feature_name,feature_group,feature_type,table_name,formula,lookback_window,missingness_policy,leakage_policy,description
duration_planned_months,duration,integer,gold_project_monthly_metrics,ROUND((original_doc - approval_date) / 30.4375),0 (static snapshot),NULL if either date missing,Safe (static baseline known at sanction),Total originally planned project execution duration in months.
duration_elapsed_months,duration,integer,gold_project_monthly_metrics,ROUND((reporting_date - approval_date) / 30.4375),0 (as-of reporting date),NULL if approval_date missing,Safe (uses only past reporting dates),Chronological months elapsed from sanction/approval to current reporting period.
duration_remaining_months,duration,integer,gold_project_monthly_metrics,ROUND((original_doc - reporting_date) / 30.4375),0 (as-of reporting date),NULL if original_doc missing,Safe (evaluates remaining time to planned baseline),Remaining planned duration to original commissioning date (can be negative if delayed).
time_elapsed_pct,duration,float,gold_project_monthly_metrics,(duration_elapsed_months / duration_planned_months) * 100,0 (as-of reporting date),NULL if planned duration <= 0 or missing,Safe (as-of ratio),Percentage of planned execution timeline consumed as of current reporting date.
time_remaining_pct,duration,float,gold_project_monthly_metrics,100.0 - time_elapsed_pct,0 (as-of reporting date),NULL if time_elapsed_pct is NULL,Safe (deterministic complement),Remaining execution timeline percentage.
cost_escalation_cr,cost,float,gold_project_monthly_metrics,revised_cost_cr - original_cost_cr,0 (current reported revision),0.0 if revised cost unpopulated (defaults to original cost),Safe (records currently sanctioned revision at time T),Absolute cost escalation in ₹ Crore as sanctioned at reporting period.
cost_escalation_pct,cost,float,gold_project_monthly_metrics,((revised_cost_cr - original_cost_cr) / original_cost_cr) * 100,0 (current reported revision),0.0 if revised == original; NULL if original_cost <= 0,Safe (uses only revisions enacted <= T),Percentage cost escalation over original sanctioned baseline.
cost_growth_factor,cost,float,gold_project_monthly_metrics,revised_cost_cr / original_cost_cr,0 (current reported revision),1.0 if unrevised; NULL if original_cost <= 0,Safe (cost multiple known at T),Multiplicative factor of cost revision (e.g. 1.25 = 25% cost growth).
expenditure_pct,cost,float,gold_project_monthly_metrics,(cumulative_expenditure_cr / revised_cost_cr) * 100,0 (current reported expenditure),0.0 if expenditure missing; NULL if revised_cost <= 0,Safe (cumulative spend realized <= T),Financial burn percentage against latest revised sanctioned cost.
remaining_financial_exposure_cr,cost,float,gold_project_monthly_metrics,"MAX(0.0, revised_cost_cr - cumulative_expenditure_cr)",0 (current reported state),revised_cost_cr if expenditure is 0.0,Safe (unspent capital allocation as of T),Remaining unspent capital outlay in ₹ Crore required to complete project.
physical_progress_pct,progress,float,fact_project_month,"MIN(100.0, MAX(0.0, raw_physical_progress))",0 (reported progress at T),0.0 if unobserved,Safe (observed physical completion at T),Certified physical progress percentage on site as of reporting period.
financial_progress_pct,progress,float,gold_project_monthly_metrics,expenditure_pct,0 (reported expenditure at T),0.0 if unspent,Safe (financial utilization at T),Financial progress percentage defined as cumulative spend / revised cost.
physical_financial_gap,progress,float,gold_project_monthly_metrics,physical_progress_pct - financial_progress_pct,0 (reported at T),NULL if either component missing,Safe (deterministic cross-dimensional gap),Divergence between physical progress and financial burn. Negative values indicate fund expenditure outpacing physical work.
expected_baseline_progress_pct,planned_vs_actual,float,gold_project_monthly_metrics,"MIN(100.0, MAX(0.0, time_elapsed_pct))",0 (time-based linear baseline),NULL if time_elapsed_pct is NULL,Safe (standardized baseline schedule pace),Linear time-elapsed progress baseline expectation in absence of S-curve milestones.
progress_deviation,planned_vs_actual,float,gold_project_monthly_metrics,physical_progress_pct - expected_baseline_progress_pct,0 (as-of T),NULL if expected baseline missing,Safe (as-of performance deficit),Gap between site physical progress and expected baseline progress. Negative indicates project lagging schedule.
progress_completion_ratio,planned_vs_actual,float,gold_project_monthly_metrics,physical_progress_pct / expected_baseline_progress_pct,0 (as-of T),1.0 if expected == 0.0; NULL if denominator missing,Safe (ratio of achievement to expectation),Relative progress achievement ratio (< 1.0 implies under-delivery).
months_elapsed_since_prev_obs,velocity,integer,gold_project_monthly_metrics,"month_diff(reporting_date_t, reporting_date_prev)",1 previous observation,NULL if first observed month,Safe (tracks actual elapsed gap between reports),Exact calendar months elapsed between current and preceding observation (prevents assuming 1-month step when gaps exist).
progress_velocity_pct_per_month,velocity,float,gold_project_monthly_metrics,(physical_progress_t - physical_progress_prev) / months_elapsed_since_prev_obs,1 previous observation (spaced),NULL if first observation or gap <= 0,Safe (uses only past observation),Actual physical progress velocity normalized per calendar month.
expenditure_velocity_cr_per_month,velocity,float,gold_project_monthly_metrics,(expenditure_t - expenditure_prev) / months_elapsed_since_prev_obs,1 previous observation (spaced),NULL if first observation or gap <= 0,Safe (uses only past expenditure),Actual monthly cash expenditure burn rate in ₹ Crore per month.
progress_acceleration,velocity,float,gold_project_monthly_metrics,progress_velocity_t - progress_velocity_prev,2 previous observations,NULL if < 2 previous observations,Safe (second derivative of past progress),"Rate of change of progress velocity (positive = accelerating, negative = decelerating)."
progress_3m_delta,trend,float,gold_project_monthly_metrics,physical_progress_t - physical_progress_{t-3},3 previous observations,NULL if fewer than 3 historical periods,Safe (pure backward lookback),Net physical progress achieved over preceding 3 reporting observations.
progress_6m_delta,trend,float,gold_project_monthly_metrics,physical_progress_t - physical_progress_{t-6},6 previous observations,NULL if fewer than 6 historical periods,Safe (pure backward lookback),Net physical progress achieved over preceding 6 reporting observations.
rolling_avg_progress_3m,trend,float,gold_project_monthly_metrics,AVG(physical_progress) over last 3 observations,3 previous observations,Current value if < 3 observations,Safe (rolling lookback <= T),Rolling 3-observation average of physical progress.
progress_volatility_3m,volatility,float,gold_project_monthly_metrics,STDDEV(physical_progress) over last 3 observations,3 previous observations,0.0 if < 2 observations,Safe (historical volatility <= T),Standard deviation of reported progress over recent monitoring cycles.
schedule_slippage_months,schedule,integer,gold_project_monthly_metrics,"MAX(0, ROUND((anticipated_doc - original_doc) / 30.4375))",0 (reported schedule at T),0 if anticipated_doc missing or equal to original_doc,Safe (monitored anticipated delay at T),Official schedule delay in months between original commissioning date and latest anticipated completion date.
is_schedule_delayed,schedule,integer,gold_project_monthly_metrics,CASE WHEN schedule_slippage_months > 0 THEN 1 ELSE 0 END,0 (reported schedule at T),0 if slippage is NULL or 0,Safe (binary delay indicator),Flag indicating project has recorded an official commissioning date slippage.
cost_risk_score,risk,float,gold_risk_engine_outputs,35% weight on cost escalation magnitude + 65% weight on financial progress deficit,0 (deterministic risk engine),"Bounded in [0.0, 100.0]",Safe (deterministic risk logic <= T),"Sub-score evaluating project fiscal stress, budget revisions, and cost escalation."
schedule_risk_score,risk,float,gold_risk_engine_outputs,50% weight on normalized slippage months + 50% weight on time consumed vs remaining,0 (deterministic risk engine),"Bounded in [0.0, 100.0]",Safe (deterministic risk logic <= T),Sub-score evaluating schedule delay duration and remaining time pressure.
progress_risk_score,risk,float,gold_risk_engine_outputs,60% weight on progress deviation + 40% weight on physical-financial gap,0 (deterministic risk engine),"Bounded in [0.0, 100.0]",Safe (deterministic risk logic <= T),Sub-score evaluating execution stall and physical delivery divergence.
overall_risk_score,risk,float,gold_risk_engine_outputs,0.35 * cost_risk + 0.35 * schedule_risk + 0.30 * progress_risk,0 (deterministic composite),"Bounded in [0.0, 100.0]",Safe (governed weighted composite formula),"Overall composite project implementation risk score (0.0 = minimal risk, 100.0 = critical risk)."
risk_band,risk,text,gold_risk_engine_outputs,CASE WHEN overall_risk >= 75 THEN 'CRITICAL' WHEN >= 50 THEN 'HIGH' WHEN >= 25 THEN 'MODERATE' ELSE 'LOW' END,0 (deterministic threshold),'LOW' if risk score 0,Safe (calibrated categorical band),Operational risk band for executive prioritization.
active_warnings_count,warning,integer,gold_project_current / ml_dataset_master,COUNT(DISTINCT warning_type) triggered at snapshot T,0 (active alerts at T),0 if no warnings active,Safe (rule-based alert triggers <= T),Number of concurrent rule-based warning signals active for project at reporting month.
